Courses_Completed,Course_Attempts,Course_Difficulty,Course_Ruiners,Exam_Preference,Programming_Enjoyment,Lecturer_Importance,Course_Recommendations
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3901 - Capstone Project, INFO3155 - Information Assurance and Security, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II, SWEN3000 - Application Development for iOS Devices",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 2 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3101 - 1 COMP3161 - 1 COMP3220 - 1 COMP3901 - 1 INFO3155 - 1 INFO3171 - 1 INFO3180 - 1 SWEN3000 - 1,COMP1126 - 5 COMP1127 - 5 COMP1161 - 5 COMP1210 - 5 COMP1220 - 5 COMP2140 - 5 COMP2171 - 5 COMP2190 - 5 COMP2201 - 5 COMP2211 - 5 COMP2340 - 5 INFO2180 - 5 COMP3101 - 5 COMP3161 - 5 COMP3220 - 5 COMP3901 - 5 INFO3155 - 5 INFO3171 - 5 INFO3180 - 5 SWEN3000 - 5,Fully face-to-face courses,No,3,2,"COMP1126, COMP1127, COMP1220, INFO2180, INFO3155, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3092 - An Introduction to Quantum Computing, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3652 - Language Processors, COMP3702 - Theory of Computation, COMP3901 - Capstone Project, SWEN3130 - Software Project Management",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3092 - 1 COMP3101 - 1 COMP3161 - 1 COMP3220 - 1 COMP3652 - 1 COMP3702 - 1 COMP3901 - 1 SWEN3130 - 1,COMP1126 - 1 COMP1127 - 1 COMP1220 - 1 COMP1210 - 1 SWEN3130 - 1 INFO2180 - 1 COMP3161 - 1 COMP2201 - 2 COMP2211 - 2 COMP2171 - 2 COMP3220 - 2 COMP3092 - 2 COMP2190 - 3 COMP2140 - 3 COMP2340 - 3 COMP3101 - 3 COMP1161 - 3 COMP3652 - 4 COMP3901 - 4 COMP3702 - 4,Disengaged or mean lecturer,No,4,1,"COMP1126, COMP1127, COMP2201, COMP2211, INFO2180, COMP3092, COMP3161, COMP3220, COMP3652, COMP3702, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, INFO2180 - Dynamic Web Development 1, COMP3161 - Database Management Systems, COMP3220 - Principles of Artificial Intelligence, COMP3652 - Language Processors, COMP3702 - Theory of Computation, COMP3912 - Internship in Computing II, INFO3180 - Dynamic Web Development II, SWEN3145 - Software Modelling, SWEN3165 - Software Testing, SWEN3185 - Formal Methods and Software Reliability",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 INFO2180 - 1 COMP3161 - 1 COMP3220 - 1 COMP3652 - 1 COMP3702 - 1 COMP3912 - 1 INFO3180 - 1 SWEN3145 - 1 SWEN3165 - 1 SWEN3185 - 1,COMP1126 - 2 COMP1127 - 2 COMP1161 - 2 COMP1210 - 2 COMP1220 - 2 COMP2140 - 2 COMP2171 - 2 COMP2190 - 4 COMP2201 - 2 COMP2211 - 5 INFO2180 - 2 COMP3161 - 2 COMP3220 - 2 COMP3652 - 5 COMP3702 - 5 COMP3912 - 2 INFO3180 - 2 SWEN3145 - 2 SWEN3165 - 2 SWEN3185 - 5,The teacher,No,1,1,"COMP1126, COMP1127, COMP1161, COMP1210, COMP1220, COMP2171, COMP2201, COMP2211, INFO2180, COMP3161, COMP3652, INFO3180, SWEN3145, SWEN3165, SWEN3185"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2130 - Systems Programming, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3092 - An Introduction to Quantum Computing, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, COMP3162 - Data Science Principles, COMP3220 - Principles of Artificial Intelligence, COMP3702 - Theory of Computation, COMP3901 - Capstone Project, INFO3155 - Information Assurance and Security, INFO3165 - Security Analysis and Digital Forensics, INFO3171 - User Interface Design, INFO3180 - Dynamic Web Development II",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2130 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP2340 - 1 INFO2180 - 1 COMP3092 - 1 COMP3101 - 1 COMP3161 - 1 COMP3162 - 1 COMP3220 - 1 COMP3702 - 1 COMP3901 - 1 INFO3155 - 1 INFO3165 - 1 INFO3171 - 1 INFO3180 - 1,COMP1126 - N/A COMP1127 - N/A COMP1161 - N/A COMP1210 - N/A COMP1220 - N/A COMP2130 - N/A COMP2140 - N/A COMP2171 - N/A COMP2190 - N/A COMP2201 - N/A COMP2211 - N/A COMP2340 - N/A INFO2180 - N/A COMP3092 - N/A COMP3101 - N/A COMP3161 - N/A COMP3162 - N/A COMP3220 - N/A COMP3702 - N/A COMP3901 - N/A INFO3155 - N/A INFO3165 - N/A INFO3171 - N/A INFO3180 - N/A,No feedback on assignments during the semester,Yes,2,2,"COMP1126, COMP1127, COMP1161, COMP1210, COMP1220, COMP2130, COMP2190, COMP2201, COMP2211, INFO2180, COMP3161, COMP3162, COMP3220, COMP3702, INFO3155, INFO3165, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1,COMP1126 - 1 COMP1127 - 2 COMP1161 - 3 COMP1210 - 1 COMP1220 - 4,Lack of past papers and delayed result release,Yes,1,2,"COMP1126, COMP1127, COMP1161, COMP1210"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, INFO2180 - Dynamic Web Development 1, INFO3180 - Dynamic Web Development II",COMP1126 - 1 COMP1127 - 1 COMP1161 - 2 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2201 - 2 COMP2211 - 1 INFO2180 - 1 INFO3180 - 1,COMP1126 - 3 COMP1127 - 3 COMP1161 - 3 COMP1210 - 3 COMP1220 - 3 COMP2140 - 4 COMP2171 - 3 COMP2201 - 4 COMP2211 - 5 INFO2180 - 3 INFO3180 - 3,N/A,Yes,3,2,"COMP1126, COMP1127, COMP1161, COMP2140, COMP2171, COMP2201, COMP2211, INFO2180, INFO3180"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1,COMP1126 - 1 COMP1127 - 1 COMP1161 - 3 COMP1210 - 1 COMP1220 - 5,Fully online courses (I learn better in person),No,1,1,"COMP1126, COMP1210"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2340 - Computer Systems Organization, INFO2180 - Dynamic Web Development 1, COMP3101 - Operating Systems, COMP3161 - Database Management Systems, INFO3435 - Ecommerce",COMP1126 - 1 COMP1127 - 1 COMP1161 - 2 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2340 - 1 COMP3101 - 2 COMP3161 - 1 INFO2180 - 1 INFO3435 - 1,COMP1126 - 3 COMP1127 - 3 COMP1161 - 4 COMP1210 - 3 COMP1220 - N/A COMP2140 - 3 COMP2171 - 3 COMP2340 - 4 COMP3101 - 4 COMP3161 - 3 INFO2180 - 2 INFO3435 - 3,A bad lecturer and poor container organization,No,4,1,"COMP1126, COMP1127, INFO2180, INFO3435"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2201 - Discrete Mathematics for Computer Science, INFO2180 - Dynamic Web Development 1",COMP1126 - 1 COMP1127 - 1 COMP1161 - 3 COMP1220 - 1 COMP2140 - 1 COMP2201 - 1 INFO2180 - 1 COMP2190 - 0 COMP2211 - 0 COMP2171 - 0,COMP1126 - 3 COMP1127 - 3 COMP1161 - 4 COMP1220 - 3 COMP2140 - 3 COMP2171 - 2 COMP2190 - 4 COMP2201 - 3 COMP2211 - 4 INFO2180 - 2,Abstraction without enough practice,No,1,2,"COMP1220, COMP2140, COMP2171"
"COMP1126 - Introduction to Computing I, COMP1127 - Introduction to Computing II, COMP1161 - Object-Oriented Programming, COMP1210 - Mathematics for Computing, COMP1220 - Computing and Society, COMP2140 - Software Engineering, COMP2171 - Object Oriented Design and Implementation, COMP2190 - Net-Centric Computing, COMP2201 - Discrete Mathematics for Computer Science, COMP2211 - Analysis of Algorithms, COMP3220 - Principles of Artificial Intelligence, COMP3911 - Internship in Computing I, INFO3155 - Information Assurance and Security, INFO3171 - User Interface Design, SWEN3130 - Software Project Management, SWEN3145 - Software Modelling, SWEN3165 - Software Testing, SWEN3185 - Formal Methods and Software Reliability, SWEN3920 - Capstone Project (Software Engineering)",COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 1 COMP1220 - 1 COMP2140 - 1 COMP2171 - 1 COMP2190 - 1 COMP2201 - 1 COMP2211 - 1 COMP3220 - 1 COMP3911 - 1 INFO3155 - 1 INFO3171 - 1 SWEN3130 - 1 SWEN3145 - 1 SWEN3165 - 1 SWEN3185 - 1 SWEN3920 - 1,COMP1126 - 1 COMP1127 - 1 COMP1161 - 1 COMP1210 - 3 COMP1220 - 2 COMP2140 - 3 COMP2171 - 2 COMP2190 - 4 COMP2201 - 2 COMP2211 - 2 COMP3220 - 2 COMP3911 - N/A INFO3155 - N/A INFO3171 - N/A SWEN3130 - 2 SWEN3145 - 5 SWEN3165 - 2 SWEN3185 - 5,Bad lecturer and disorganized content,No,1,3,"COMP1126, COMP1127, COMP1161, COMP3220, SWEN3165"
